Loan Term (months),Default Amount,Servicer Fee,SeniorLoanStatus,OutstandingBalance,Product,TotalInterestPaid,Default - Servicer Definition,Unique ID,Employer,Bucket,MaxArrears,TermOutstanding,APR/Interest Rate,LoanStatus,Start Date,CCJ_LTM,OPB,PurposeOfLoan,Unnamed: 16,DelinquentEver,DelinquentEverDate,BorrowerStatus,Default Date,TotalCapitalPaid,Original Principal Balance,MonthlyPayment,Credit Score,DelinquentAccountStatus,MaxArrearsDate,Seasoning,Currency_Name,Eligibility Flag,Days Past Due,Status of Loan,Country,LTV (for secured products),Currency
60,,2.00,Up-To-Date,2752.50,Neyber Loan,3383.45,Non Default,31982,Police Mutual,Great,0,9,8.90,Active,2019-04-04,0,2674.94,Car purchase,0,0,,,,12325.06,"15,000",308.01,507,Up-To-Date,,51,,Eligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,634.25,Non Default,7180,Police Mutual,Great,0,0,4.90,Repaid,2017-06-13,0,0.00,Debt Consolidation,0,0,, ,,7000.00,"7,000",131.44,529,Closed,,73,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,143.47,Non Default,23520,Police Mutual,Great,0,0,4.90,Repaid,2018-03-05,0,0.00,Car purchase,0,0,, ,,8000.00,"8,000",239.03,536,Closed,,64,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,495.50,Non Default,23262,Police Mutual,Great,0,0,4.90,Repaid,2018-02-21,0,0.00,Car purchase,0,0,, ,,5400.00,"5,400",101.39,507,Closed,,65,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1729.56,Non Default,28927,Police Mutual,Great,0,0,6.90,Repaid,2018-11-05,0,0.00,Debt Consolidation,0,0,, ,,20000.00,"20,000",393.11,497,Closed,,56,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,378.04,Non Default,6417,Police Mutual,Great,0,0,4.90,Repaid,2017-03-07,0,0.00,Car purchase,0,0,, ,,5000.00,"5,000",149.39,516,Closed,,76,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,913.77,Non Default,30135,Police Mutual,Great,0,0,4.90,Repaid,2019-01-10,0,0.00,Debt Consolidation,0,0,,,,8500.00,"8,500",194.95,455,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,3895.17,Non Default,5745,Police Mutual,OK,0,0,14.90,Repaid,2017-01-18,0,0.00,Debt Consolidation,0,0,, ,,12500.00,"12,500",341.39,339,Closed,,78,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,571.33,Non Default,5700,Police Mutual,Great,0,0,4.90,Repaid,2017-01-10,0,0.00,Debt Consolidation,0,0,, ,,7500.00,"7,500",224.09,456,Closed,,78,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,548.16,Non Default,11555,Police Mutual,Great,0,0,4.90,Repaid,2017-09-22,0,0.00,Other,0,0,, ,,7000.00,"7,000",131.44,474,Closed,,70,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
